DeltaTime	StreamSample	HeadRotationX	HeadRotationY	HeadRotationZ	HeadSpeedX	HeadSpeedY	HeadSpeedZ	
0.0010331	2471343	0.9144007	0.02940261	-0.4034702	-0.0147885	-0.2982915	-0.1261684	-0.005444403	 
0.001032	2471344	0.9144013	0.02940459	-0.4034688	-0.01478691	-0.2659567	-0.1764362	0.0689848	 
0.0016476	2471345	0.9144022	0.02940557	-0.4034666	-0.01478549	-0.1541676	-0.2636754	0.09372134	 
0.0011535	2471346	0.9144033	0.02940455	-0.4034643	-0.01478475	0.07703745	-0.2730255	0.114229	 
0.0023397	2471347	0.9144041	0.02940179	-0.4034626	-0.01478469	0.2797927	-0.2126743	0.1234122	 
0.0012464	2471350	0.9144059	0.02938354	-0.4034596	-0.0147907	0.9033697	-0.07945599	0.02495348	 
0.0020557	2471351	0.9144061	0.02937622	-0.4034595	-0.01479373	0.8726374	-0.002575377	0.02010631	 
0.0010247	2471355	0.9144067	0.02934492	-0.4034602	-0.0148005	0.9279401	0.0335309	0.3116729	 
0.0010419	2471356	0.9144067	0.02933664	-0.4034609	-0.01479977	0.8000844	0.08090943	0.4427886	 
0.0011673	2471357	0.9144066	0.02932923	-0.4034618	-0.01479898	0.7075656	0.1045009	0.4111252	 
0.0010254	2471359	0.9144058	0.02931641	-0.4034644	-0.0147978	0.5593772	0.1919037	0.3107513	 
0.0010138	2471360	0.9144049	0.02931256	-0.4034667	-0.01479695	0.3424386	0.2728897	0.2625426	 
0.0014123	2471361	0.914404	0.02931037	-0.403469	-0.01479638	0.1882805	0.2694485	0.1601258	 
0.0011371	2471362	0.9144032	0.02930939	-0.403471	-0.01479647	0.09665044	0.2432818	0.03969818	 
0.0020458	2471363	0.9144024	0.02930897	-0.4034729	-0.0147975	0.08241992	0.2251326	-0.08096758	 
0.0010102	2471366	0.9144008	0.02931243	-0.4034761	-0.01479822	-0.1781368	0.02742937	-0.1147892	 
0.0010131	2471367	0.9144009	0.0293155	-0.4034757	-0.01479855	-0.2926632	-0.0576698	-0.1712154	 
0.0010244	2471368	0.9144009	0.02932065	-0.4034753	-0.01479797	-0.5428062	-0.05388994	-0.170754	 
0.0015462	2471369	0.9144007	0.02932683	-0.4034753	-0.01479675	-0.6762029	-0.0007307417	-0.1522369	 
0.0028452	2471370	0.9144004	0.02933347	-0.4034756	-0.01479531	-0.7337187	0.03428201	-0.1490047	 
0.0010412	2471375	0.9143949	0.02936284	-0.4034859	-0.01479527	-0.3656054	0.2979808	-0.2812763	 
0.0010283	2471376	0.9143938	0.02936608	-0.4034882	-0.01479632	-0.2864941	0.2768435	-0.2437657	 
0.0010853	2471377	0.9143928	0.02936854	-0.4034902	-0.01479766	-0.1944889	0.2486758	-0.2391604	 
0.0010039	2471378	0.9143922	0.02937027	-0.4034913	-0.01479892	-0.1220091	0.1427056	-0.2007761	 
0.0010339	2471379	0.9143922	0.02937057	-0.4034911	-0.01480087	0.05609093	-0.01397941	-0.2104514	 
0.0010634	2471380	0.9143927	0.02936968	-0.4034902	-0.01480264	0.1719283	-0.1117312	-0.1405858	 
0.0015564	2471381	0.9143933	0.02936789	-0.4034888	-0.01480392	0.2402731	-0.1535714	-0.05230498	 
0.0024881	2471382	0.9143939	0.02936694	-0.4034875	-0.01480415	0.1104283	-0.1584325	0.01551491	 
0.00109	2471385	0.9143947	0.02936643	-0.4034858	-0.01480415	0.07788998	0.01720499	-0.04295822	 
0.0024754	2471386	0.9143945	0.02936568	-0.4034863	-0.01480518	0.1196505	0.05494551	-0.0691456	 
0.0010386	2471390	0.9143954	0.02936175	-0.4034842	-0.01481478	0.1190424	-0.06850173	-0.1946593	 
0.0010393	2471391	0.9143959	0.02936072	-0.403483	-0.01481698	0.2057905	-0.1308195	-0.178119	 
0.0017457	2471392	0.9143967	0.02935873	-0.4034813	-0.01481946	0.3147865	-0.1985298	-0.1658789	 
0.0025775	2471394	0.9143983	0.02935285	-0.403478	-0.01482256	0.3613071	-0.1822815	0.04255726	 
0.0018985	2471398	0.9144006	0.02933626	-0.4034741	-0.01481801	0.3051669	0.008393554	0.3531291	 
0.0020572	2471400	0.9144002	0.02932933	-0.4034757	-0.01481563	0.2876774	0.103377	0.250619	 
0.0016348	2471403	0.9143983	0.02932299	-0.4034807	-0.01480741	-0.03123948	0.2158734	0.4857198	 
0.0010593	2471405	0.9143969	0.02932084	-0.4034843	-0.01479454	-0.2040881	0.1947584	0.7441896	 
0.0010306	2471406	0.9143961	0.02932061	-0.4034865	-0.01478691	-0.321385	0.232527	0.7834398	 
0.0010696	2471407	0.9143951	0.02932047	-0.4034892	-0.01477978	-0.3098825	0.2883222	0.7297958	 
0.001718	2471408	0.914394	0.02931996	-0.4034919	-0.01477462	-0.1859564	0.3072743	0.5489168	 
0.0022948	2471409	0.9143929	0.02931895	-0.4034944	-0.01477114	-0.06082026	0.2951161	0.4004442	 
0.0010098	2471413	0.9143903	0.02931892	-0.4035004	-0.01477143	0.1645138	0.03612136	-0.2747842	 
0.00104	2471414	0.9143904	0.02931789	-0.4035002	-0.01477632	0.3219442	-0.01068342	-0.4463014	 
0.0021246	2471415	0.9143904	0.0293172	-0.4034998	-0.01478137	0.2941463	-0.02367049	-0.478254	 
0.001102	2471417	0.914391	0.02931745	-0.4034982	-0.01479271	0.2277557	-0.08745373	-0.592526	 
0.0022668	2471418	0.914391	0.0293191	-0.4034978	-0.01479823	0.07945115	-0.025149	-0.628976	 
0.0022165	2471420	0.9143904	0.02932557	-0.4034985	-0.01480733	-0.1757069	0.04904015	-0.6019685	 
0.0018875	2471423	0.9143913	0.02933872	-0.403495	-0.01481836	-0.3249894	-0.2291197	-0.4909664	 
0.0017599	2471425	0.9143944	0.02934711	-0.4034873	-0.01482132	-0.3123252	-0.5477319	-0.2991455	 
0.0016946	2471426	0.9143968	0.02934923	-0.4034815	-0.01482284	-0.1279755	-0.6849419	-0.2618724	 
0.0011086	2471428	0.914402	0.02935084	-0.4034697	-0.01482381	-0.00458453	-0.7009354	-0.04445507	 
0.0022654	2471430	0.9144068	0.02934853	-0.4034589	-0.01482374	0.1991834	-0.6119238	0.03731735	 
0.0024863	2471433	0.9144112	0.0293422	-0.4034493	-0.01482898	0.4036677	-0.2766548	-0.2561461	 
0.0033277	2471437	0.9144112	0.02933601	-0.4034488	-0.0148519	0.2027579	0.2032676	-0.4913164	 
0.0011648	2471441	0.9144055	0.02933952	-0.4034613	-0.01486054	-0.1289028	0.4559241	-0.02046779	 
0.0011283	2471443	0.9144027	0.02933954	-0.4034676	-0.01485778	-0.09933732	0.3492867	0.2110441	 
0.001385	2471444	0.9144015	0.02933956	-0.4034704	-0.01485482	-0.1418024	0.3263797	0.3042414	 
0.0015083	2471446	0.9144004	0.02934016	-0.4034732	-0.01484628	-0.2318047	0.07184447	0.4423633	 
0.0011181	2471447	0.9144005	0.02934079	-0.4034731	-0.01484171	-0.2657776	-0.02973753	0.4320272	 
0.0010141	2471448	0.9144007	0.02934133	-0.4034728	-0.01483658	-0.2804956	-0.05296503	0.4909244	 
0.0018321	2471449	0.9144008	0.02934245	-0.4034728	-0.01483068	-0.3740475	-0.03464123	0.54362	 
0.0010207	2471452	0.9144012	0.02933892	-0.4034725	-0.01482014	0.1049687	0.01487113	0.3460236	 
0.001039	2471453	0.9144009	0.0293355	-0.4034733	-0.0148184	0.2642978	0.09602687	0.328052	 
0.0010127	2471454	0.9144008	0.02933077	-0.4034741	-0.01481776	0.4459244	0.08807344	0.2766888	 
0.0010845	2471455	0.9144007	0.02932582	-0.4034746	-0.0148183	0.5207827	0.06884374	0.1671797	 
0.0010255	2471456	0.9144006	0.02932074	-0.4034752	-0.01481947	0.56218	0.0733979	0.1093355	 
0.0010397	2471457	0.9144005	0.0293172	-0.4034758	-0.01481993	0.3746606	0.07738082	0.1124677	 
0.0010459	2471458	0.9144003	0.02931483	-0.4034762	-0.01481971	0.2277362	0.04325319	0.1289757	 
0.002665	2471459	0.9144005	0.02931357	-0.403476	-0.0148189	0.09187178	-0.02401885	0.1365832	 
0.0041263	2471463	0.9144018	0.02932039	-0.4034727	-0.01481218	-0.3590278	-0.1749869	-0.01039695	 
0.0028601	2471468	0.9144038	0.0293323	-0.4034671	-0.01481806	-0.09313691	-0.1160788	-0.343095	 
0.0010382	2471471	0.9144034	0.02934278	-0.4034672	-0.01482192	-0.3279778	0.05356667	-0.2273555	 
0.0010159	2471472	0.9144031	0.02934518	-0.4034677	-0.01482264	-0.2114521	0.05107386	-0.1774053	 
0.0010507	2471473	0.9144028	0.02934685	-0.403468	-0.0148231	-0.1482785	0.04634153	-0.1200716	 
0.0011108	2471474	0.9144027	0.02934855	-0.4034682	-0.01482231	-0.2069499	0.01967882	0.004888088	 
0.0010145	2471475	0.9144029	0.02935026	-0.4034677	-0.01482103	-0.2275475	-0.06541016	0.05171565	 
0.0010324	2471476	0.9144035	0.02935108	-0.4034665	-0.01481934	-0.1536818	-0.1568546	0.1301017	 
0.001047	2471477	0.9144042	0.02935131	-0.4034649	-0.01481767	-0.09196281	-0.1947811	0.1536661	 
0.0013912	2471478	0.9144048	0.02935129	-0.4034636	-0.01481569	-0.08226555	-0.163673	0.1972673	 
0.0010185	2471480	0.9144061	0.02935152	-0.4034609	-0.01481194	-0.11808	-0.167479	0.1817788	 
0.0010171	2471481	0.9144062	0.029353	-0.4034604	-0.01480919	-0.2692801	-0.06780629	0.2094848	 
0.001179	2471482	0.9144058	0.0293564	-0.4034613	-0.01480638	-0.4692749	0.09605365	0.1337823	 
0.001059	2471483	0.9144048	0.02936117	-0.4034632	-0.01480488	-0.5533577	0.2263284	-0.05598657	 
0.0017675	2471485	0.914402	0.02936947	-0.4034689	-0.01480624	-0.2985124	0.3720053	-0.3062287	 
0.0010346	2471488	0.914397	0.02937396	-0.4034797	-0.01481436	0.1127608	0.3894626	-0.3242502	 
0.0010404	2471489	0.914396	0.02937284	-0.4034818	-0.01481865	0.2962123	0.2758687	-0.3763085	 
0.0010841	2471490	0.9143954	0.02937113	-0.4034832	-0.01482251	0.3385603	0.1875434	-0.3087027	 
