DeltaTime	StreamSample	HeadRotationX	HeadRotationY	HeadRotationZ	HeadSpeedX	HeadSpeedY	HeadSpeedZ	
0.0010364	2476909	0.9143996	0.0293469	-0.4034768	-0.01478169	0.3818831	0.4321712	0.03310989	 
0.0011038	2476910	0.9143987	0.02934339	-0.4034791	-0.01478399	0.4488347	0.2765673	-0.07020994	 
0.0021979	2476911	0.9143981	0.02934037	-0.4034806	-0.0147861	0.3938119	0.1875748	-0.07425463	 
0.0021526	2476914	0.9143987	0.02933301	-0.4034796	-0.01479397	0.3608988	-0.1553566	-0.2382997	 
0.0012927	2476916	0.9144003	0.02933113	-0.4034759	-0.01479829	0.1306962	-0.2295867	-0.1653796	 
0.0018701	2476918	0.9144026	0.02932964	-0.4034706	-0.01480209	0.2597536	-0.3351684	-0.1863033	 
0.0010532	2476921	0.9144066	0.02931459	-0.403462	-0.0148202	0.9196272	-0.2846373	-0.446611	 
0.0018605	2476922	0.9144078	0.0293085	-0.4034593	-0.01482779	0.9577318	-0.2889278	-0.4993725	 
0.001947	2476923	0.914409	0.02930373	-0.4034568	-0.01483494	0.8048566	-0.266986	-0.514372	 
0.0034491	2476926	0.9144122	0.02930106	-0.4034492	-0.01484941	0.1162011	-0.3267226	-0.4108405	 
0.0019992	2476930	0.9144156	0.02931468	-0.4034404	-0.01485142	-0.4432887	-0.2624741	-0.1295519	 
0.0014638	2476932	0.9144172	0.02932369	-0.4034362	-0.0148501	-0.4698986	-0.2400188	-0.1211734	 
0.001008	2476933	0.9144177	0.02932885	-0.4034348	-0.01484853	-0.5847673	-0.1751768	-0.07461549	 
0.0030334	2476934	0.9144181	0.02933369	-0.4034336	-0.01484715	-0.5453069	-0.1436835	-0.07966672	 
0.0015805	2476938	0.9144177	0.02935089	-0.4034334	-0.01484197	-0.4970495	0.05061465	0.00969279	 
0.0015137	2476939	0.9144173	0.02935473	-0.403434	-0.01484036	-0.4599169	0.06604028	-0.007807596	 
0.0022124	2476943	0.9144135	0.02936415	-0.4034421	-0.0148342	-0.1836585	0.3168296	0.0461436	 
0.0013307	2476945	0.9144108	0.02936475	-0.4034484	-0.01483327	-0.06717519	0.3943393	0.04981741	 
0.001606	2476946	0.9144093	0.02936438	-0.4034517	-0.01483206	-0.02693448	0.394586	0.1460698	 
0.0010575	2476948	0.9144071	0.0293633	-0.4034571	-0.01482869	-0.0345661	0.2942102	0.2162305	 
