DeltaTime	StreamSample	HeadRotationX	HeadRotationY	HeadRotationZ	HeadSpeedX	HeadSpeedY	HeadSpeedZ	
0.0010003	2487870	0.9144063	0.02938852	-0.4034568	-0.01483275	0.267341	0.1815415	-0.4960972	 
0.0010229	2487871	0.9144052	0.02938822	-0.4034592	-0.01483641	0.1846141	0.3026932	-0.3496158	 
0.0010955	2487872	0.9144039	0.02938723	-0.4034621	-0.01483935	0.2211194	0.3641077	-0.243473	 
0.0010236	2487873	0.9144026	0.02938568	-0.4034651	-0.01484141	0.2382332	0.3642301	-0.131717	 
0.0010164	2487874	0.9144013	0.02938349	-0.4034682	-0.01484304	0.2833176	0.374611	-0.05881284	 
0.0010269	2487875	0.9143999	0.02938123	-0.4034714	-0.0148432	0.224659	0.3947423	0.09304784	 
0.0010455	2487876	0.9143986	0.02937923	-0.4034745	-0.01484273	0.1716879	0.3703099	0.1436058	 
0.0010644	2487877	0.9143976	0.02937748	-0.403477	-0.01484193	0.1332058	0.2918795	0.1641622	 
0.0010357	2487878	0.914397	0.02937525	-0.4034785	-0.0148414	0.1954421	0.1842569	0.1568817	 
0.0010247	2487879	0.9143966	0.02937362	-0.4034795	-0.01484002	0.1001389	0.1121752	0.2138034	 
0.0014787	2487880	0.9143965	0.02937213	-0.4034802	-0.01483805	0.06140676	0.07375792	0.2658511	 
0.0040048	2487881	0.9143965	0.02937085	-0.4034803	-0.01483527	0.004754596	0.004795848	0.3367488	 
0.0011035	2487886	0.914397	0.02936267	-0.4034803	-0.01481856	0.04254923	-0.07360308	0.4261779	 
0.0019084	2487887	0.9143975	0.02936166	-0.4034794	-0.01481485	-0.0603545	-0.1161543	0.4159575	 
0.0010167	2487890	0.9143992	0.0293622	-0.4034759	-0.0148052	-0.1362503	-0.2122249	0.235427	 
0.0010313	2487891	0.9144002	0.0293625	-0.4034738	-0.01480228	-0.1537519	-0.2535736	0.2757084	 
0.0013183	2487892	0.9144012	0.02936321	-0.4034715	-0.0148	-0.1655533	-0.2884652	0.1921763	 
0.0019601	2487893	0.9144021	0.02936516	-0.4034692	-0.01479848	-0.2567599	-0.2826776	0.0607178	 
0.0018777	2487895	0.9144043	0.02936736	-0.4034641	-0.01479976	-0.01721643	-0.3117129	-0.1690807	 
0.0017978	2487897	0.9144059	0.02936802	-0.4034602	-0.01480462	0.08014011	-0.1875713	-0.2711778	 
0.0020691	2487898	0.9144065	0.02936786	-0.4034588	-0.01480744	0.1450477	-0.1487906	-0.2801827	 
0.0010152	2487902	0.9144053	0.02936978	-0.4034612	-0.01481353	-0.1489853	0.2088246	-0.003110483	 
0.001048	2487903	0.9144044	0.02937125	-0.4034632	-0.01481187	-0.2278523	0.2252655	0.1074441	 
0.0010645	2487904	0.9144036	0.02937279	-0.4034651	-0.01480886	-0.2933921	0.2249233	0.2390887	 
0.003809	2487905	0.9144027	0.02937451	-0.4034671	-0.01480417	-0.3876361	0.2171624	0.4002829	 
0.0030782	2487909	0.9144032	0.02937023	-0.4034668	-0.01478724	0.1478168	-0.1502442	0.4533414	 
0.0010374	2487914	0.9144119	0.02934696	-0.4034485	-0.01479632	0.4908799	-0.5003487	-0.2990281	 
0.0010375	2487915	0.9144138	0.02934504	-0.4034441	-0.01480083	0.4062914	-0.5064062	-0.3794326	 
0.0011579	2487916	0.9144155	0.02934372	-0.4034403	-0.01480523	0.3395442	-0.4379438	-0.3940471	 
0.001854	2487917	0.9144166	0.02934413	-0.4034377	-0.01480851	0.1117088	-0.3032175	-0.3549467	 
0.0015852	2487918	0.914417	0.02934668	-0.4034364	-0.01480992	-0.1899208	-0.1507394	-0.2583468	 
0.0040143	2487920	0.9144168	0.02935442	-0.4034363	-0.01481219	-0.3404584	0.03735451	-0.2805235	 
0.0010364	2487926	0.9144164	0.0293593	-0.4034369	-0.01481281	0.2197594	-0.02985246	0.08935148	 
0.0012698	2487927	0.9144165	0.02935714	-0.4034368	-0.01481309	0.2301532	-0.005805722	0.06690839	 
0.0010386	2487930	0.9144148	0.02935017	-0.403441	-0.01481273	0.1557862	0.3227605	0.1736222	 
0.0010411	2487931	0.9144132	0.02934814	-0.4034448	-0.01481172	0.1484502	0.451701	0.2015051	 
0.0010674	2487932	0.9144114	0.02934618	-0.4034492	-0.01481073	0.1403393	0.5174386	0.1977555	 
0.0010273	2487933	0.9144094	0.02934443	-0.4034538	-0.01481036	0.1451393	0.5537106	0.1266917	 
0.0010324	2487934	0.9144073	0.02934372	-0.4034587	-0.01480944	0.0160636	0.5805871	0.1367476	 
0.0010841	2487935	0.9144052	0.0293439	-0.4034634	-0.01480871	-0.06502173	0.5686918	0.07732696	 
0.0010251	2487936	0.9144033	0.02934375	-0.4034678	-0.0148085	-0.00754987	0.5254218	0.03829259	 
0.001016	2487937	0.9144016	0.0293425	-0.4034717	-0.01480929	0.1484779	0.4789278	-0.01336751	 
0.0014674	2487938	0.9143999	0.02934148	-0.4034756	-0.01480977	0.1124466	0.4632602	0.006501552	 
0.0033174	2487940	0.9143973	0.02933891	-0.4034816	-0.01481163	0.1822823	0.3209764	-0.02769977	 
0.0010225	2487944	0.9143962	0.02933204	-0.403485	-0.01480155	-0.1260043	-0.01073848	0.5002993	 
0.0010265	2487945	0.9143965	0.02933112	-0.4034846	-0.01479721	-0.0982079	-0.0726584	0.476316	 
0.0010339	2487946	0.9143967	0.0293313	-0.4034843	-0.0147924	-0.2304578	-0.05387516	0.475332	 
0.0011352	2487947	0.9143967	0.02933227	-0.4034844	-0.01478781	-0.3020648	-0.003773913	0.4196844	 
0.0010272	2487949	0.9143969	0.02933589	-0.403484	-0.01478	-0.3371619	-0.06395358	0.2595056	 
0.0013843	2487950	0.914397	0.02933801	-0.4034837	-0.01477706	-0.3427401	-0.04841362	0.2009439	 
0.0010222	2487953	0.9143972	0.02934872	-0.4034827	-0.01477015	-0.4723549	-0.1074185	-0.01133006	 
0.0010342	2487954	0.9143978	0.02935222	-0.4034811	-0.01476917	-0.3908205	-0.1999811	-0.06075003	 
0.0012221	2487955	0.9143986	0.02935466	-0.403479	-0.01476887	-0.2530724	-0.24384	-0.08324588	 
0.0023554	2487956	0.9143996	0.02935609	-0.4034767	-0.01476904	-0.1290123	-0.2817862	-0.08724786	 
0.0010204	2487958	0.914402	0.02935502	-0.4034713	-0.01477223	0.180015	-0.310052	-0.1567814	 
0.0029871	2487959	0.9144028	0.02935336	-0.4034694	-0.01477423	0.2617364	-0.2160802	-0.132403	 
0.0023616	2487963	0.9144007	0.02934117	-0.4034746	-0.01478958	0.7555844	0.4168073	-0.4401056	 
0.001672	2487965	0.9143971	0.02933291	-0.4034829	-0.01480252	0.6736483	0.5228859	-0.4576564	 
0.0031507	2487968	0.9143924	0.02932859	-0.4034933	-0.01481861	0.1588046	0.3883489	-0.4122852	 
0.0017928	2487971	0.9143898	0.02933354	-0.4034985	-0.01482524	-0.165977	0.1406299	-0.2389094	 
