DeltaTime	StreamSample	HeadRotationX	HeadRotationY	HeadRotationZ	HeadSpeedX	HeadSpeedY	HeadSpeedZ	
0.0017785	2433870	0.9141886	0.0293545	-0.4039547	-0.0147662	-0.7814519	0.5527719	0.7512679	 
0.0010207	2433900	0.9141832	0.02935175	-0.4039683	-0.01473582	-0.2631427	0.01970888	0.07578374	 
0.0011269	2433901	0.914183	0.02935361	-0.4039687	-0.01473531	-0.2108779	0.04083623	-0.03016175	 
0.0046886	2433903	0.9141819	0.02935777	-0.4039707	-0.0147358	-0.2219	0.1458407	-0.1389944	 
0.0012001	2433907	0.9141779	0.02936448	-0.4039791	-0.01474223	-0.1237156	0.3103449	-0.2370775	 
0.0010695	2433909	0.9141766	0.02936676	-0.4039817	-0.01474722	0.004118271	0.1199561	-0.3051453	 
0.0013774	2433910	0.9141764	0.02936738	-0.4039821	-0.014749	0.01566783	0.05376632	-0.2064386	 
0.0010353	2433911	0.9141764	0.02936849	-0.403982	-0.01474947	-0.09117305	-0.01592503	-0.09647194	 
0.0010291	2433913	0.9141778	0.02936991	-0.4039788	-0.01474877	-0.0799856	-0.2524616	0.01857976	 
0.0012571	2433914	0.914179	0.02937022	-0.4039761	-0.01474835	-0.04175687	-0.3295873	0.02204897	 
0.0010404	2433916	0.9141817	0.02937022	-0.4039699	-0.01474825	0.05678294	-0.4019596	-0.0166357	 
0.0010437	2433917	0.9141834	0.02936967	-0.4039662	-0.01474937	0.1154712	-0.4386787	-0.09720882	 
0.0011491	2433918	0.9141849	0.02936872	-0.4039628	-0.01475088	0.173103	-0.3956754	-0.1177952	 
0.0032033	2433919	0.914186	0.02936842	-0.4039603	-0.01475186	0.08137837	-0.3046807	-0.09172351	 
0.0013704	2433922	0.9141883	0.02935918	-0.4039555	-0.01475511	0.536679	-0.1142815	0.1228874	 
0.0010251	2433924	0.9141883	0.02935033	-0.4039561	-0.01475406	0.3561801	0.07264877	0.3160418	 
0.001148	2433925	0.9141881	0.02934741	-0.403957	-0.01475197	0.1989373	0.09596785	0.3424924	 
0.0010174	2433927	0.9141871	0.02934221	-0.4039598	-0.01474793	0.1756911	0.1883797	0.3059722	 
0.0010386	2433928	0.9141864	0.0293396	-0.4039617	-0.0147468	0.2076063	0.2176808	0.2345469	 
0.001067	2433929	0.9141858	0.02933698	-0.4039632	-0.01474741	0.2854315	0.1889587	0.05933683	 
0.0010732	2433930	0.9141853	0.02933407	-0.4039644	-0.01474928	0.3727213	0.1561012	-0.05567324	 
0.001016	2433931	0.9141847	0.02933174	-0.4039657	-0.01475186	0.3450114	0.1568417	-0.1534901	 
0.0010262	2433932	0.9141841	0.02933025	-0.4039672	-0.01475423	0.2503116	0.1961331	-0.167124	 
0.0010948	2433933	0.9141835	0.02932996	-0.4039684	-0.01475665	0.133329	0.1579461	-0.2280091	 
0.0010189	2433935	0.9141824	0.02933305	-0.4039706	-0.01476091	-0.1430159	0.152982	-0.2907715	 
0.0010517	2433936	0.9141814	0.02933705	-0.4039725	-0.01476141	-0.3864617	0.2326605	-0.2239133	 
0.0010725	2433937	0.9141802	0.02934215	-0.4039749	-0.01476142	-0.5204059	0.291843	-0.221373	 
0.0010426	2433938	0.9141788	0.02934738	-0.4039776	-0.01476086	-0.5587737	0.3149637	-0.1697508	 
0.0010317	2433939	0.9141774	0.02935324	-0.4039806	-0.01475975	-0.6490275	0.3563743	-0.1417261	 
