DeltaTime	StreamSample	HeadRotationX	HeadRotationY	HeadRotationZ	HeadSpeedX	HeadSpeedY	HeadSpeedZ	
0.0011502	2456175	0.9143738	0.02935826	-0.4035344	-0.01478329	-0.617537	0.1324014	0.1987362	 
0.001304	2456279	0.9143724	0.02936006	-0.4035374	-0.01478894	-0.5800269	-0.230187	0.1685581	 
0.001024	2457146	0.9143823	0.02938839	-0.4035122	-0.01480409	0.2365663	-0.1199845	0.08982679	 
0.0010361	2457147	0.9143825	0.02938553	-0.403512	-0.01480444	0.3047128	-0.023314	0.09187484	 
0.0010536	2457148	0.9143822	0.02938253	-0.403513	-0.01480504	0.3257969	0.120102	0.0755043	 
0.0010491	2457149	0.9143815	0.02937976	-0.4035147	-0.01480574	0.3036148	0.2144988	0.05704461	 
0.0010313	2457150	0.9143804	0.0293773	-0.4035172	-0.01480761	0.3238385	0.2994116	-0.07268781	 
0.0010474	2457151	0.9143791	0.0293754	-0.4035202	-0.01481081	0.3241618	0.3806627	-0.2298561	 
0.0010652	2457152	0.9143775	0.02937336	-0.4035239	-0.01481448	0.357108	0.456213	-0.269795	 
0.0010346	2457153	0.9143756	0.02937224	-0.4035281	-0.01481732	0.2254983	0.5198886	-0.2247889	 
0.0010032	2457154	0.9143738	0.02937162	-0.4035323	-0.01481941	0.1419086	0.5173004	-0.1723619	 
0.001067	2457155	0.9143721	0.02937118	-0.403536	-0.0148212	0.1120674	0.4488356	-0.151598	 
0.001082	2457156	0.9143706	0.02937101	-0.4035393	-0.01482263	0.07063194	0.4046365	-0.1282063	 
0.0010094	2457158	0.914368	0.02937203	-0.4035452	-0.01482425	-0.01551574	0.3282933	-0.07610475	 
0.0010328	2457159	0.914367	0.02937233	-0.4035474	-0.01482487	-0.01014587	0.2580419	-0.07097832	 
0.0010692	2457160	0.9143662	0.02937213	-0.4035492	-0.01482505	0.02254135	0.2198645	-0.004507326	 
0.0010251	2457161	0.9143654	0.02937191	-0.4035511	-0.01482401	-0.02930633	0.2281787	0.1196818	 
0.0010794	2457162	0.9143646	0.02937128	-0.4035531	-0.0148223	-0.01836981	0.2281124	0.2048315	 
0.0010251	2457163	0.9143639	0.02937015	-0.4035547	-0.01482045	0.02628998	0.1873837	0.2409837	 
0.0010371	2457164	0.9143634	0.02936835	-0.403556	-0.01481803	0.0703222	0.1464503	0.3263151	 
0.0010619	2457165	0.914363	0.02936727	-0.4035572	-0.01481512	-0.02417262	0.1398982	0.3436322	 
0.0010487	2457166	0.9143625	0.02936672	-0.4035584	-0.0148115	-0.1083294	0.1283217	0.3916526	 
0.0010291	2457167	0.9143624	0.02936645	-0.4035589	-0.01480811	-0.1246414	0.03769087	0.353961	 
0.0010349	2457168	0.9143626	0.02936582	-0.4035585	-0.01480511	-0.06834809	-0.0592587	0.3295995	 
0.001168	2457169	0.9143632	0.02936543	-0.4035574	-0.01480213	-0.08934677	-0.1439694	0.3137576	 
0.0030202	2457172	0.9143674	0.02936684	-0.4035479	-0.01479982	0.0271664	-0.5230581	-0.08120038	 
0.0012764	2457174	0.9143714	0.02936842	-0.4035385	-0.0148023	-0.0348317	-0.5488849	-0.169036	 
0.0021487	2457178	0.9143782	0.0293684	-0.4035231	-0.01480466	-0.0003243593	-0.3243836	0.07159422	 
0.0010415	2457181	0.9143801	0.02936516	-0.4035191	-0.01480252	0.2125345	-0.1092829	0.103184	 
0.0010623	2457182	0.9143802	0.0293632	-0.403519	-0.01480217	0.1810204	-0.01428772	0.1225724	 
0.001121	2457184	0.9143799	0.0293604	-0.4035199	-0.01480176	0.1020774	0.06771465	0.07524692	 
0.0010324	2457186	0.9143789	0.02935977	-0.4035222	-0.0148009	-0.05439835	0.1623549	0.09141719	 
0.0011399	2457187	0.9143782	0.02936055	-0.4035238	-0.01479925	-0.1564936	0.1852799	0.1349037	 
0.0010025	2457189	0.9143772	0.02936299	-0.4035259	-0.0147961	-0.1753871	0.09716921	0.08266579	 
0.0010298	2457190	0.9143768	0.02936447	-0.4035268	-0.01479449	-0.2228784	0.1004818	0.09833301	 
0.001272	2457191	0.9143762	0.02936547	-0.4035282	-0.01479307	-0.1679362	0.1517104	0.1022356	 
0.001027	2457193	0.9143749	0.02936628	-0.4035311	-0.01478953	-0.09176209	0.1746081	0.1723672	 
0.0010378	2457194	0.9143741	0.02936643	-0.4035331	-0.0147871	-0.1291694	0.231399	0.2420883	 
0.0012045	2457195	0.914373	0.02936682	-0.4035356	-0.01478408	-0.1803983	0.2931578	0.2935755	 
0.0010178	2457197	0.914371	0.02936859	-0.4035403	-0.01477882	-0.1620967	0.2395929	0.1910662	 
0.0010383	2457198	0.9143702	0.02936979	-0.4035421	-0.01477632	-0.2370597	0.2089347	0.2029174	 
0.0013085	2457199	0.9143693	0.02937226	-0.403544	-0.01477209	-0.4422777	0.2111206	0.3206666	 
0.0010371	2457201	0.9143683	0.02937818	-0.4035463	-0.01476213	-0.4702532	0.07063892	0.3562766	 
0.0010597	2457202	0.9143683	0.02937989	-0.4035464	-0.01475825	-0.344497	-0.004427522	0.3139997	 
0.0010459	2457203	0.9143685	0.02938001	-0.4035459	-0.0147551	-0.1502018	-0.07394239	0.3103305	 
0.0010338	2457204	0.9143692	0.02937923	-0.4035445	-0.01475288	-0.01513328	-0.1735424	0.2546295	 
0.0010211	2457205	0.9143705	0.02937649	-0.4035419	-0.01475266	0.2743894	-0.3216771	0.137438	 
0.0010342	2457206	0.9143722	0.02937312	-0.4035382	-0.01475333	0.3798776	-0.4390497	0.07370602	 
0.0014558	2457207	0.9143741	0.02936959	-0.4035341	-0.0147546	0.4243462	-0.4846677	0.01887337	 
0.003321	2457208	0.9143761	0.02936636	-0.4035296	-0.01475587	0.3947414	-0.530048	0.00422836	 
0.001047	2457212	0.9143857	0.02935188	-0.4035088	-0.01476358	0.393888	-0.5312895	-0.06204516	 
0.001028	2457213	0.9143872	0.02934985	-0.4035054	-0.01476501	0.2779081	-0.3971534	-0.06222884	 
0.0010167	2457214	0.9143882	0.02934893	-0.4035033	-0.01476613	0.1490157	-0.2486596	-0.07738805	 
0.0011269	2457215	0.9143884	0.02934927	-0.4035026	-0.01476688	0.0007772704	-0.0825207	-0.09205745	 
0.0024761	2457216	0.9143882	0.02935103	-0.4035031	-0.01476703	-0.1717027	0.05947033	-0.0930429	 
0.0027011	2457219	0.9143879	0.02935449	-0.4035034	-0.01476975	0.07056095	-0.04712291	-0.1855732	 
0.0014656	2457221	0.9143891	0.02934826	-0.4035008	-0.01477765	0.6293122	-0.1754006	-0.2918082	 
0.0010098	2457224	0.9143923	0.02933078	-0.4034941	-0.01479671	0.8456295	-0.1888187	-0.4258353	 
0.0010397	2457225	0.9143928	0.02932601	-0.403493	-0.01480351	0.7849629	-0.1103048	-0.4750604	 
0.0010655	2457226	0.9143931	0.02932264	-0.4034923	-0.01481063	0.6575336	-0.05647185	-0.5689139	 
0.0010466	2457227	0.914393	0.02932043	-0.4034925	-0.01481705	0.5057657	0.04628066	-0.5472879	 
0.0010408	2457228	0.9143924	0.02931997	-0.4034939	-0.01482086	0.2109075	0.1933243	-0.3592243	 
0.0010127	2457229	0.914391	0.02932149	-0.4034967	-0.01482121	-0.1463734	0.3360608	-0.0951725	 
0.0011458	2457230	0.9143894	0.02932412	-0.4035002	-0.01481965	-0.343917	0.4163844	0.04855176	 
0.0010335	2457232	0.9143854	0.02933011	-0.4035091	-0.01481334	-0.4897847	0.5548252	0.2195686	 
0.0010353	2457233	0.9143832	0.02933322	-0.4035142	-0.01480898	-0.5222001	0.5968108	0.3127365	 
0.00107	2457234	0.9143811	0.02933618	-0.4035187	-0.01480447	-0.512026	0.5258976	0.3334465	 
0.003879	2457235	0.9143795	0.029339	-0.4035222	-0.01480002	-0.491712	0.4045348	0.3315061	 
0.0010094	2457239	0.9143761	0.02934607	-0.4035301	-0.01478595	-0.1665126	0.09241516	0.2249302	 
0.0010364	2457240	0.9143761	0.02934521	-0.4035303	-0.01478483	0.03565077	0.01105729	0.15137	 
0.0010386	2457241	0.9143761	0.02934391	-0.4035304	-0.01478442	0.1127382	0.01057884	0.09909483	 
0.0010346	2457242	0.914376	0.02934247	-0.4035307	-0.01478462	0.1530004	0.04274217	0.04565651	 
0.0010682	2457243	0.9143757	0.02934118	-0.4035314	-0.01478529	0.1569353	0.09185449	-0.008267166	 
0.0010266	2457244	0.9143751	0.02933967	-0.4035328	-0.01478749	0.2458953	0.1717233	-0.1512274	 
0.0010287	2457245	0.9143741	0.02933867	-0.4035352	-0.01478993	0.2014751	0.2956197	-0.1956925	 
0.0011024	2457246	0.9143726	0.02933837	-0.4035382	-0.01479238	0.1295123	0.3776772	-0.225114	 
0.0010043	2457247	0.9143713	0.02933815	-0.4035414	-0.01479471	0.1156547	0.3847779	-0.2163702	 
0.0010528	2457248	0.9143699	0.02933848	-0.4035443	-0.01479614	0.02110828	0.3599688	-0.1510157	 
0.0010276	2457249	0.9143686	0.02934011	-0.4035473	-0.01479561	-0.1967643	0.3519009	-0.01184651	 
0.0013034	2457250	0.9143674	0.02934224	-0.4035497	-0.01479362	-0.3102162	0.2862897	0.1114093	 
0.0031643	2457251	0.914367	0.02934484	-0.4035508	-0.01479032	-0.4113678	0.1141416	0.2191143	 
0.0010236	2457255	0.9143701	0.02935407	-0.4035434	-0.01477999	-0.2492413	-0.3312912	0.10259	 
0.0010197	2457256	0.9143714	0.0293543	-0.4035403	-0.01477962	-0.03072732	-0.3733431	0.01855347	 
0.0014926	2457257	0.9143727	0.02935443	-0.4035373	-0.01477983	0.005893359	-0.363707	-0.0344365	 
0.0010011	2457259	0.9143747	0.02935523	-0.4035327	-0.01478097	-0.03256554	-0.2516762	-0.07832246	 
0.0010466	2457260	0.9143756	0.02935539	-0.4035307	-0.01478223	0.04642692	-0.245383	-0.1388478	 
0.0010407	2457261	0.9143764	0.02935538	-0.4035289	-0.01478456	0.1093008	-0.2076644	-0.2382872	 
0.0013405	2457262	0.9143769	0.02935534	-0.4035275	-0.01478756	0.141579	-0.1526411	-0.3037559	 
0.0013427	2457263	0.9143773	0.02935611	-0.4035264	-0.01479083	0.07074917	-0.1165254	-0.3660288	 
0.0020159	2457264	0.9143777	0.02935651	-0.4035252	-0.01479508	0.1516582	-0.126379	-0.4484112	 
0.0010236	2457268	0.9143782	0.02936105	-0.4035235	-0.01480941	0.06965715	0.03586205	-0.4501315	 
0.0010583	2457269	0.914378	0.0293599	-0.4035235	-0.01481504	0.3657807	0.02695124	-0.5149755	 
0.0043122	2457270	0.914378	0.02935633	-0.4035237	-0.01482112	0.6286222	0.04085333	-0.4529732	 
0.001118	2457274	0.914378	0.02933801	-0.4035245	-0.01483958	0.606598	0.06762153	-0.1632651	 
0.0010415	2457276	0.9143768	0.0293325	-0.4035275	-0.01484203	0.2520858	0.2055486	0.06363602	 
0.001102	2457277	0.914376	0.02933164	-0.4035293	-0.01484149	0.05659401	0.2138338	0.09775478	 
0.0010269	2457278	0.9143752	0.02933213	-0.4035313	-0.01483975	-0.1321561	0.2327652	0.1582842	 
0.0010174	2457279	0.9143742	0.02933486	-0.4035334	-0.01483626	-0.4356837	0.2443084	0.2351544	 
0.001043	2457280	0.9143733	0.02933882	-0.4035352	-0.01483195	-0.5953964	0.1946031	0.2615047	 
0.0011093	2457281	0.9143729	0.02934302	-0.4035361	-0.01482826	-0.5894806	0.09890904	0.1871945	 
0.0010273	2457283	0.9143726	0.02935192	-0.4035363	-0.01482234	-0.6045225	-0.01692608	0.0721613	 
0.0010346	2457284	0.9143725	0.02935677	-0.4035363	-0.01481895	-0.6382148	-0.02289419	0.1253238	 
0.0010484	2457285	0.9143724	0.02936164	-0.4035361	-0.01481571	-0.6339337	-0.03375156	0.1092241	 
0.0010284	2457286	0.9143723	0.02936572	-0.4035363	-0.01481257	-0.5498482	0.006925521	0.1349781	 
0.0010152	2457287	0.9143718	0.02936907	-0.4035373	-0.0148088	-0.5078695	0.102346	0.2325354	 
0.0010426	2457288	0.9143711	0.02937198	-0.4035388	-0.01480405	-0.5084774	0.1640367	0.3531646	 
0.001276	2457289	0.9143705	0.02937389	-0.4035402	-0.01479998	-0.3769031	0.146466	0.328322	 
0.001609	2457291	0.9143698	0.02937353	-0.4035422	-0.01479425	-0.0525089	0.1086735	0.2891347	 
0.0015582	2457293	0.9143694	0.02936995	-0.4035435	-0.01478695	0.01203997	0.02752538	0.4765865	 
0.0010474	2457295	0.9143699	0.02936743	-0.4035429	-0.01477896	-0.04542524	-0.05639042	0.4295878	 
0.0010444	2457296	0.91437	0.02936641	-0.4035428	-0.01477565	-0.04327482	-0.02011327	0.3788979	 
0.0010839	2457297	0.9143698	0.02936642	-0.4035434	-0.01477168	-0.179218	0.05281656	0.3997249	 
0.0010298	2457299	0.9143693	0.02936717	-0.4035449	-0.01476345	-0.2278482	0.06714477	0.3665558	 
0.0014944	2457300	0.914369	0.02936817	-0.4035454	-0.01475993	-0.257701	0.05326756	0.3118333	 
0.0010342	2457303	0.9143711	0.02937047	-0.4035407	-0.01475713	-0.03525763	-0.3411799	-0.07822499	 
0.0010383	2457304	0.9143726	0.02937113	-0.4035372	-0.01475733	-0.04668676	-0.4149527	-0.05817769	 
